,0,1,2,3,4,5,6,7
0,50,63,39,41,82,95,71,73
1,52,61,38,42,84,93,70,74
2,54,59,37,43,86,91,69,75
3,56,57,36,44,88,89,68,76
4,58,55,35,45,90,87,67,77
5,60,53,34,46,92,85,66,78
6,62,51,33,47,94,83,65,79
7,64,49,40,48,96,81,72,80
