,0,1,2,3,4,5,6,7
0,114,127,103,105,146,159,135,137
1,116,125,102,106,148,157,134,138
2,118,123,101,107,150,155,133,139
3,120,121,100,108,152,153,132,140
4,122,119,99,109,154,151,131,141
5,124,117,98,110,156,149,130,142
6,126,115,97,111,158,147,129,143
7,128,113,104,112,160,145,136,144
